ABRMS-1016;"Fortführung CustomerProduct API v2"
ABRMS-1027;"Rundungsfehler bei den Verbrauchsdaten"
ABRMS-490;"Erstellen / Abstimmen der Swagger_Master für Cuba ad hoc EVN "
ABRMS-523;"json Export der Kundendaten"
ABRMS-604;"Umstellung auf neue Spring Admin UI"
ABRMS-737;"In der Prüfung der Präfixe von IDs auch klein Schreibung erlauben"
ABRMS-782;"Auslagern der ProductQuery"
ABRMS-865;"v1/customer/usageType liefert 500 statt 404"
ABRMS-949;"ms-BillingAccount Testabdeckung erhöhen"
MCBS-1645;"Überarbeitung des Linkcode Mechanismus"
MCBS-1845;"V2 Draft Version der CustomerProduct API Teil II"
MCBS-1979;"DescriptionsBuiltin
MCBS-2015;"Anlage einer Blacklist für nicht zu kopierende yaml Dateien"
MCBS-2031;"Kartentausch mit haptischer und embedded SIM"
MCBS-2033;"Implementierung eines Preiscontainers"
MCBS-2053;"Falsche Agreements bei beendeten CustomerProducts"
MCBS-2114;"Generated Annotation für generierte Dateien ergänzen"
MCBS-2153;"Enum funktioniert nicht als Bedingung in einem PreparedStatement"
MCBS-2188;"Fristenberechnung im DOM Kontext korrigieren"
MCBS-2208;"Spring Boot Admin Client fehlt in der Customer API"
MCBS-2236;"CPE
MCBS-2239;"McLinkcode.getHierarchy() inkonsistent im Fehlerfall"
MCBS-2241;"Lieferung des Abrechnungszeitraumes"
MCBS-2250;"Ausfilterung von Usage Billitems"
MCBS-2252;"Aktualisierung von Spring + Spring Boot"
MCBS-2257;"ABRMS-848 Rückbau"
MCBS-2260;"Optimierung Migration Pattern-Tabellen"
MCBS-2261;"Bestehende Liquibase-Dateien für neues LB Tool optimieren"
MCBS-2264;"DOM Kündigungsmodalitäten werden falsch berechnet"
MCBS-2273;"Pattern Migration
MCBS-2281;"Neue Pattern-Tabellen um Spalte Bemerkung und Beschreibung erweitern"
MCBS-2301;"SQL-Skripte-Paket für einzelnen Mandanten"
MCBS-2303;"Ermittlung relevanter MR Datenbankschemaänderungen für KonfigDBs"
MCBS-2305;"CPE
MCBS-2313;"CPE
MCBS-2314;"Exception bei der Ermittlung der CustomerProducts zu einem BillingAccount"
MCBS-2319;"Fehlende Berücksichtigung der Mwst Befreiung von Kunden bei AggregatedUsages"
MCBS-2333;"RemainingAmount bei Kontingenten falsch befüllt"
MCBS-2338;"SQL
