Applikation;Testabdeckung 
mcbs-cuba;78.7%
ms-cuba-gateway;88.3%
mcbs-customer;84.7%
ms-customer-gateway;95.2%
mcbs-customer-product-api;31.4%
ms-customerproduct-gateway;87.0%
ms-businesstransaction;81.4%
ms-businessTransaction-gateway;81.5%
ms-gateway;93.9%
ms-billingaccount-frontend;90.0%
ms-invoice;84.4%
ms-customerchange;85.6%
ms-contentprovider;92.5%
ms-elasticupdate;80.8%
ms-oidc;82.7%
ms-user;82.6%
ms-authoritiesinformation;83.7%
ms-commondata;88.3%
ms-proxy-support;93.5%
mslib-rest;86.7%
