Proxy;;Dev;Test;GIT;Prod;
authorities-information;v1/authoritiesInformation;P : 1.0.0 , M: 1.4.17-SNAPSHOT;P : 1.0.0 , M: 1.4.17;P : 1.0.0 , M: 1.4.17;P : 1.0.0 , M: 1.4.17;
OIDC;v2/oidc;P : 1.2.2 , M: 1.4.3-SNAPSHOT;P : 1.2.8 , M: 1.4.3;P : 1.2.8 , M: 1.4.3;P : 1.2.8 , M: 1.4.1;
user;v2/user;P : 1.0.19 , M: 1.8.0-SNAPSHOT;P : 1.0.19 , M: 1.8.0;P : 1.0.19 , M: 1.8.0;P : 1.0.19 , M: 1.7.26;
cuba;v1/usages;P : 1.0.6 , M: 9.9.9-SNAPSHOT;P : 1.0.5 , M: 1.9.9;P : 1.0.5 , M: 1.9.9;P : 1.0.5 , M: 1.9.9;
customer;v1/customer/customers;P : 1.0.7 , M: 9.9.9-SNAPSHOT;P : 1.0.7 , M: 3.2.4;P : 1.0.7 , M: 3.2.4;P : 1.0.7 , M: 3.2.4;
customerchange;v1/customer/customerChange;P : 1.0.2 , M: 2.1.1-SNAPSHOT;P : 1.0.2 , M: 2.1.3;P : 1.0.2 , M: 2.1.3;P : 1.0.2 , M: 2.1.1;
customerproduct;v1/customerProduct;P : 1.0.4 , M: 9.9.9-SNAPSHOT;P : 1.0.4 , M: 1.12.1;P : 1.0.4 , M: 1.11.12;P : 1.0.4 , M: 1.11.12;
invoice;v1/invoice;P : 1.0.2 , M: 1.1.8-SNAPSHOT;Fehler : 404;Fehler : 404;Fehler : 404;
billingaccount-frontend;v1/customer/billingAccounts;P : 1.0.3 , M: 1.1.23-SNAPSHOT;P : 1.0.2 , M: 1.1.23;P : 1.0.2 , M: 1.1.23;P : 1.0.2 , M: 1.1.23;
contentprovider;v1/contentproviders;P : 1.0.2 , M: 1.3.10-SNAPSHOT;P : 1.0.2 , M: 1.3.10;P : 1.0.2 , M: 1.3.10;P : 1.0.2 , M: 1.3.8;
abrms-health;abrms-healthcheck;P : 1.0.1 , M: null;P : 1.0.1 , M: null;P : 1.0.1 , M: null;P : 1.0.1 , M: null;
